ogr_no,turkce_1,matematik_1,fen_1,sosyal_1,turkce_7,matematik_7,fen_7,sosyal_7,turkce_15,matematik_15,fen_15,sosyal_15,turkce_18,matematik_18,fen_18,sosyal_18,turkce_21,matematik_21,fen_21,sosyal_21,toplam_1,toplam_7,toplam_15,toplam_18,toplam_21
61,23.5,8.0,5.25,10.75,28.75,18.5625,7.375,12.9375,28.75,25.0,8.75,11.75,28.75,16.75,10.25,16.5,34.0,24.5,5.25,12.75,47.5,67.625,74.25,72.25,76.5
46,28.75,8.5,0.25,7.75,14.0,25.5,7.5,11.5,0.0,19.0,0.0,13.75,28.0,22.75,0.0,0.0,17.6875,18.9375,1.9375,8.25,45.25,58.5,32.75,50.75,46.8125
208,27.5,7.75,0.0,9.5,21.5,15.0,1.75,8.75,16.25,12.75,7.75,5.25,25.0,19.25,10.25,11.75,29.25,16.25,1.0,11.0,44.75,47.0,42.0,66.25,57.5
90,22.25,3.5,4.25,11.25,23.25,13.0,7.5,15.25,4.75,1.0,5.75,10.0,16.75,5.833333333333333,5.833333333333333,12.166666666666666,16.75,5.833333333333333,5.833333333333333,12.166666666666666,41.25,59.0,21.5,40.58333333333333,40.58333333333333
86,23.75,7.5,-1.5,11.25,31.0,16.5,4.25,10.75,27.375,12.0,1.375,11.0,27.375,12.0,1.375,11.0,27.375,12.0,1.375,11.0,41.0,62.5,51.75,51.75,51.75
37,23.25,5.75,3.5,8.0,35.0,24.75,14.0,18.75,30.0,22.5,11.5,13.75,33.25,15.25,10.5,13.0,32.25,20.25,3.75,17.5,40.5,92.5,77.75,72.0,73.75
96,16.25,8.5,5.0,10.25,7.0,17.25,0.25,9.5,21.4375,13.0,2.75,13.125,27.0,21.5,5.0,15.0,35.5,4.75,0.75,17.75,40.0,34.0,50.3125,68.5,58.75
47,18.5,6.5,5.0,10.0,23.25,21.5,9.5,9.5,22.5,25.0,9.0,5.5,31.25,16.0,12.0,15.0,23.875,17.25,8.875,10.0,40.0,63.75,62.0,74.25,60.0
17,22.75,7.75,3.25,4.25,26.5,21.5,7.75,8.0,23.5,15.75,6.25,7.833333333333333,21.25,18.0,7.75,11.25,23.5,15.75,6.25,7.833333333333333,38.0,63.75,53.333333333333336,58.25,53.333333333333336
91,19.0,7.75,-1.0,10.0,22.0,30.75,1.5,12.5,22.5,25.5,8.0,8.5,31.5,21.75,8.25,15.0,27.0,33.25,3.25,12.5,35.75,66.75,64.5,76.5,76.0
